"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","617935","4","37808","0","410","10","37384","14"
"2","ALWAR","1227528","1","59706","0","307","1","59389","10"
"3","BANSWARA","225984","0","10005","0","104","0","9901","0"
"4","BARAN","156957","0","11997","0","61","0","11935","1"
"5","BARMER","328604","0","15569","0","185","4","15383","1"
"6","BHARATPUR","382120","0","19601","0","260","0","19341","0"
"7","BHILWARA","387359","0","29782","0","156","0","29626","0"
"8","BIKANER","591870","0","40348","0","545","0","39802","1"
"9","BUNDI","172852","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","355565","0","19809","0","139","0","19670","0"
"11","CHURU","314707","0","16720","0","107","0","16613","0"
"12","DAUSA","206891","0","13351","0","62","0","13289","0"
"13","DHOLPUR","223062","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","246423","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","329642","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","369984","0","16053","0","111","0","15942","0"
"17","JAIPUR","2521477","18","187933","0","1971","2","185870","92"
"18","JAISALMER","203928","0","13641","0","66","0","13573","2"
"19","JALORE","372034","0","10067","0","72","0","9995","0"
"20","JHALAWAR","277797","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","367825","0","14811","0","158","0","14653","0"
"22","JODHPUR","1152359","0","112416","0","1103","1","111312","1"
"23","KARAULI","168433","0","7156","0","70","0","7086","0"
