"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","11,309"
"2","Number of persons tested positive today in Tamil Nadu","990"
"3","Total Number of persons tested positive till date","27,03,613"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,20,153/ 
5,12,79,395@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,19,769/ 
5,03,55,668"
"6","No. of Male / Female / Transgender tested positive today","598/392/0"
"7","No. of Male / Female / Transgender tested positive till date","15,77,892/11,25,683/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","307 (69 Govt+ 
238 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,153/ 
26,56,168"
"10","Total number of deaths today/ till date","20(3 Private &  
17 Govt) /36,136)"
