"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","623406","4","37820","0","410","0","37384","26"
"2","ALWAR","1238509","1","59711","0","307","0","59389","15"
"3","BANSWARA","228130","0","10005","0","104","0","9901","0"
"4","BARAN","159126","0","11997","0","61","0","11935","1"
"5","BARMER","330355","0","15571","0","185","1","15384","2"
"6","BHARATPUR","382699","0","19601","0","260","0","19341","0"
"7","BHILWARA","389762","0","29782","0","156","0","29626","0"
"8","BIKANER","594532","8","40361","0","545","0","39802","14"
"9","BUNDI","174533","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","358304","0","19809","0","139","0","19670","0"
"11","CHURU","316433","0","16720","0","107","0","16613","0"
"12","DAUSA","208801","0","13353","0","62","0","13289","2"
"13","DHOLPUR","224079","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","248200","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","331047","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","374116","0","16053","0","111","0","15942","0"
"17","JAIPUR","2535383","11","187973","0","1971","10","185901","101"
"18","JAISALMER","205302","1","13643","0","66","0","13573","4"
"19","JALORE","374037","0","10067","0","72","0","9995","0"
"20","JHALAWAR","281058","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","371240","0","14811","0","158","0","14653","0"
"22","JODHPUR","1155932","1","112419","0","1103","0","111312","4"
"23","KARAULI","169826","0","7156","0","70","0","7086","0"
