"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,616"
"2","Number of persons tested positive today in Tamil Nadu","750"
"3","Total Number of persons tested positive till date","27,21,021"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,397/ 
5,34,59,623@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,116/ 
5,25,29,282"
"6","No. of Male / Female / Transgender tested positive today","443/307/0"
"7","No. of Male / Female / Transgender tested positive till date","15,88,148/11,32,835/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","843/ 
26,76,017"
"10","Total number of deaths today/ till date","13(5 Private &  
8 Govt) /36,388)"
