"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","50","17","0","15","115"
"2","ALWAR","113","3","0","7","149"
"3","BANSWARA","4","0","0","0","10"
"4","BARAN","109","0","0","1","4"
"5","BARMER","38","0","0","0","4"
"6","BHARATPUR","68","4","0","5","37"
"7","BHILWARA","41","0","0","11","70"
"8","BIKANER","118","0","0","3","26"
"9","BUNDI","1","0","0","4","11"
"10","CHITTORGARH","5","0","0","5","81"
"11","CHURU","26","0","0","0","2"
"12","DAUSA","23","11","0","33","78"
"13","DHOLPUR","1","0","0","0","7"
"14","DUNGARPUR","2","5","0","8","76"
"15","GANGANAGAR","15","0","0","0","7"
"16","HANUMANGARH","18","1","0","0","14"
"17","JAIPUR","837","37","0","118","588"
"18","JAISALMER","21","0","0","0","2"
"19","JALORE","14","0","0","4","11"
"20","JHALAWAR","13","2","0","2","29"
"21","JHUNJHUNU","29","0","0","0","9"
"22","JODHPUR","188","15","0","18","187"
"23","KARAULI","5","0","0","0","9"
"24","KOTA","184","0","0","1","30"
"25","NAGAUR","61","7","0","7","44"
"26","PALI","67","21","0","7","60"
