"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","339"
"2","Number of persons tested positive today in Tamil Nadu","37"
"3","Total Number of persons tested positive till date","34,52,751"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,105/ 
6,55,37,882@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,084/ 
6,43,61,415"
"6","No. of Male / Female / Transgender tested positive today","21/16/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,111/14,37,602/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","64/ 
34,14,387"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
