"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","773902","0","49699","0","446","0","49249","4"
"2","ALWAR","1560718","2","84431","0","320","1","84104","7"
"3","BANSWARA","306523","1","14750","0","106","1","14630","14"
"4","BARAN","225718","0","15244","0","64","1","15174","6"
"5","BARMER","398976","0","21452","0","205","0","21247","0"
"6","BHARATPUR","472134","1","31427","0","272","2","31151","4"
"7","BHILWARA","498457","0","38176","0","162","0","38014","0"
"8","BIKANER","721778","0","49881","0","586","2","49288","7"
"9","BUNDI","226027","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","446628","0","29362","0","140","0","29222","0"
"11","CHURU","421453","0","20810","0","114","0","20690","6"
"12","DAUSA","282092","0","15773","0","80","0","15692","1"
"13","DHOLPUR","273689","0","13748","0","49","0","13698","1"
"14","DUNGARPUR","325895","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","417619","0","28136","0","158","0","27967","11"
"16","HANUMANGARH","481517","0","22503","0","114","8","22374","15"
"17","JAIPUR","3298004","15","274221","0","2111","41","271953","157"
"18","JAISALMER","240747","0","17036","0","68","0","16968","0"
"19","JALORE","438685","0","10545","0","78","0","10460","7"
"20","JHALAWAR","370626","0","17706","0","207","0","17499","0"
"21","JHUNJHUNU","484452","0","19158","0","181","1","18976","1"
"22","JODHPUR","1387849","3","141020","0","1163","11","139811","46"
"23","KARAULI","233244","0","8967","0","84","0","8881","2"
