"S. No","Subject","Number"
"1","Total Number of people vaccinated on 4th Mar","1,71,818"
"2","First Dose on 4th Mar","13,839"
"3","Second Dose on 4th Mar","1,48,992"
"4","Precaution Dose on 4th Mar","8,987"
"5","Cumulative Vaccination till 4th Mar","12,96,31,717"
"6","Cumulative Vaccination First Dose","6,97,13,985"
"7","Cumulative Vaccination Second Dose","5,82,79,657"
"8","Cumulative Precaution Dose","16,38,075"
"9","Number of CVC (Common Vaccination Centres)","3,197"
"10","Cumulative AEFI cases reported","6,962"
"11","Vaccine wastage","-7%"
