"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,926"
"2","Number of persons tested positive today in Tamil Nadu","492"
"3","Total Number of persons tested positive till date","35,76,814"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,825/ 
6,92,31,814@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,681/ 
6,80,15,526"
"6","No. of Male / Female / Transgender tested positive today","259/233/0"
"7","No. of Male / Female / Transgender tested positive till date","20,85,813/14,90,963/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","431/ 
35,33,848"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,040"
