"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","711889","481","44071","1","417","292","40151","3503"
"2","ALWAR","1406470","820","73851","0","313","1026","65938","7600"
"3","BANSWARA","276245","185","11350","0","104","88","10389","857"
"4","BARAN","196852","126","13135","0","62","94","12317","756"
"5","BARMER","373108","283","19861","1","192","458","17303","2366"
"6","BHARATPUR","431682","741","27237","1","263","542","22757","4217"
"7","BHILWARA","455289","425","33901","0","156","240","31189","2556"
"8","BIKANER","660884","262","46681","2","556","489","43821","2304"
"9","BUNDI","204008","64","8633","1","49","20","8170","414"
"10","CHITTORGARH","415787","669","25265","0","139","442","22368","2758"
"11","CHURU","377372","158","18695","0","109","178","17339","1247"
"12","DAUSA","246600","113","14904","2","68","80","13960","876"
"13","DHOLPUR","251690","108","12170","0","48","113","11291","831"
"14","DUNGARPUR","300351","378","21229","0","131","191","19273","1825"
"15","GANGANAGAR","377277","297","21896","0","151","105","19791","1954"
"16","HANUMANGARH","447928","367","19425","0","111","268","17090","2224"
"17","JAIPUR","2919142","3666","239083","2","2003","2102","212740","24340"
"18","JAISALMER","227448","115","15280","0","67","97","14480","733"
"19","JALORE","414937","30","10280","0","73","0","9997","210"
"20","JHALAWAR","333979","194","15352","2","193","94","14261","898"
"21","JHUNJHUNU","436190","171","16312","2","164","0","15096","1052"
"22","JODHPUR","1274116","1177","128320","2","1118","760","119793","7409"
"23","KARAULI","207488","108","7906","0","72","88","7215","619"
