"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22965","","5280","","28245",""
"2","Total Active Cases","03 
(0.01%)","","00 
(0%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22794 
(99.2%)","","5220 
(98.9%)","","28014 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","02","","00","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","185","","19","","204",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","185","","19","","204",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","35 
35 
00 
80 
150"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(27/04/2022)","","Test Done Today 
(28/04/2022)","","Cumulative"
"","","a)RTPCR","319694","","153","","319847"
"","","b)TRUENAT","13551","","26","","13577"
"","","c)RAT","348160","","25","","348185"
"","","d)  CBNAAT","1082","","00","","1082"
"","","TOTAL","682487","","204","","682691"
