"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,145"
"2","Number of persons tested positive today in Tamil Nadu","150"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 1"
"","Total","151"
"3","Total Number of persons tested positive till date","34,51,322"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","40,884/ 
6,47,95,497@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","40,745/ 
6,36,20,105"
"6","No. of Male / Female / Transgender tested positive today","86/65/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,398/14,36,886/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","418/ 
34,11,158"
"10","Total number of deaths today/ till date","2(2 Private &  
0 Govt) /38,019"
