"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 15-07-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1013","",""
"","","2","Total Discharges","3937173","",""
"","","3","Today's Tests Conducted","26150","",""
"","","4","Total Tests Conducted","67348559","",""
"","","5","Today’s New Cases Reported (14.07.2022, 00:00 to 23:59)","977","",""
"","","6","Total Active Cases","6702","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40085","",""
"","","9","Total Positive Cases","3984002","",""
"","","10","Positivity Rate for the day (14.07.2022, 00:00 to 23:59)","3.73%","",""
"","","11","*Weekly Total Positivity Rate","4.30%","",""
"","","12","Case Fatality Rate (CFR) for the day (14.07.2022, 00:00 to 23:59)","0.10%","",""
"","","13","*Weekly Case Fatality Rate","0.06%","",""
"*From 09-07-2022 to  15-07-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
4503* 
1218340 
           Date: 14-07-2022  
 
Date: 15-07-2022 
Page 1 of 9","","","","","",""
