"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","16,702"
"2","Number of persons tested positive today in Tamil Nadu","2,114"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1 
Germany-1"
"","Total","2,116"
"3","Total Number of persons tested positive till date","35,24,258"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","33,243/ 
6,77,86,610@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,495/ 
6,65,91,763"
"6","No. of Male / Female / Transgender tested positive today","1,219/897/0"
"7","No. of Male / Female / Transgender tested positive till date","20,54,686/14,69,534/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","340 (72$ Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,243/ 
34,69,526"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,030"
