"S. No","Subject","Number"
"1","Total Number of people vaccinated on 18th Jan","8,89,554"
"2","First Dose on 18th Jan","1,80,248"
"3","Second Dose on 18th Jan","6,46,562"
"4","Precaution Dose on 18th Jan","62,744"
"5","Cumulative Vaccination till 18th Jan","11,38,60,681"
"6","Cumulative Vaccination First Dose","6,80,06,333"
"7","Cumulative Vaccination Second Dose","4,55,39,851"
"8","Cumulative Precaution Dose","3,14,497"
"9","Number of CVC (Common Vaccination Centres)","6,265"
"10","Cumulative AEFI cases reported","6,609"
"11","Vaccine wastage","-7%"
