"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","720018",19708888
"2","Total No. of patients tested Positive","1759","760833"
"3","No. of patients discharged","1488","742738"
"4","Total Deaths reported","10","17756"
"5","Sample collected on the day","","11467"
"6","Test conducted on the day","","8301"
"7","Positive cases on the day","","61"
"8","Number of active Cases","","339"
"9","No. of Patients on oxygen support","","13"
"10","Patients at critical care Level-3 facilities","","4"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218648"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117400"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","6"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210375"
"18","Frontline Workers vaccinated with 2nd dose on the day","","39"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013241"
"20","Above 45 Vaccinated with 1st dose on the day","","163"
"21","Total Above 45 Vaccinated with 1st dose","","8320298"
"22","Above 45 Vaccinated with 2nd dose on the day","","1980"
"23","Total Above 45 Vaccinated with 2nd dose","","7354025"
"24","18-44 years age group Vaccinated with 1st dose on the day","","582"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12575067"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4256"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10049521"
"28","15-17 years age group Vaccinated with 1st dose on the day","","137"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1081160"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","410"
"31","Total 15-17 years age group Vaccinated with 2nddose","","735232"
"32","12-14 years age group Vaccinated with 1st dose on the day","","157"
"33","Total 12-14 years age group Vaccinated with 1st dose","","587700"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1548"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","309176"
"36","Precautionary dose given on the day","","1331"
"37","Total Precautionary dose given","","686917"
"38","Total Vaccination 1st dose on the day","","752"
"39","Total Vaccination 2nd dose on the day","","6281"
"40","Total Vaccination 1st and 2nd dose on the day","","7033"
