"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","260","110036","190","107679","3","2282","75"
"2","SAS Nagar","515","96204","401","94934","2","1150","120"
"3","Jalandhar","168","78438","124","76824","1","1579","35"
"4","Patiala","243","62274","225","60797","0","1457","20"
"5","Amritsar","96","59493","89","57797","0","1682","14"
"6","Bathinda","64","50932","56","49834","0","1088","10"
"7","Hoshiarpur","71","40911","74","39806","0","1096","9"
"8","Gurdaspur","25","26964","21","26094","1","865","5"
"9","Pathankot","55","24587","53","24086","0","495","6"
"10","Fazilka","33","23431","42","22881","0","545","5"
"11","Muktsar","13","22567","18","22028","0","539","0"
"12","Kapurthala","43","22078","39","21491","1","583","4"
"13","Ropar","38","17977","32","17515","0","455","7"
"14","Ferozepur","21","17920","21","17381","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","33","16816","35","16476","0","338","2"
"17","Sangrur","1","14310","1","13574","0","735","1"
"18","SBS Nagar","24","13426","26","13014","0","409","3"
"19","FG Sahib","25","11859","12","11492","0","354","13"
"20","Moga","9","10997","9","10740","1","255","2"
"21","Tarn Taran","7","10905","3","10508","0","394","3"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1759","760833","1488","742738","10","17756","339"
