"1","Total Samples taken","17012579"
"2","Sample collected on the day","31241"
"3","Test conducted on the day","28482"
"4","Total No. of patients tested Positive","621419"
"5","No. of patients discharged","588401"
"6","Positive cases on the day","3922"
"7","Number of active Cases","16343"
"8","Total Deaths reported","16675"
"9","No. of Patients on oxygen support","254"
"10","Patients at critical care Level-3 facilities","75"
"11","Patients who are critical and on ventilator support","10"
"12","Healthcare Workers vaccinated with 1st dose on the day","6"
"13","Total Healthcare Workers vaccinated with 1st dose","217517"
"14","Frontline Workers vaccinated with 1st dose on the day","46"
"15","Total Frontline Workers vaccinated with 1st dose","1114098"
"16","Healthcare Workers vaccinated with 2nd dose on the day","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","182950"
"18","Frontline Workers vaccinated with 2nd dose on the day","56"
"19","Total Frontline Workers vaccinated with 2nd dose","873175"
"20","Above 45 Vaccinated with 1st dose on the day","4934"
"21","Total Above 45 Vaccinated with 1st dose","6898954"
"22","Above 45 Vaccinated with 2nd dose on the day","9618"
"23","Total Above 45 Vaccinated with 2nd dose","4360712"
"24","18-44 years age group Vaccinated with 1st dose on the day","11778"
"25","Total 18-44 years age group Vaccinated with 1st dose","9248479"
"26","18-44 years age group Vaccinated with 2nd dose on the day","20650"
"27","Total 18-44 years age group Vaccinated with 2nd dose","4507797"
"28","15-17 years age group Vaccinated with 1st dose on the day","1821"
"29","Total 15-17 years age group Vaccinated with 1st dose","40687"
"30","Total Vaccination 1st dose on the day","18585"
"31","Total Vaccination 2nd dose on the day","30332"
"32","Total Vaccination 1st and 2nd dose on the day","48917"
