"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","89933","2143","85669","2121"
"2","SAS Nagar","71701","2564","68060","1077"
"3","Jalandhar","65134","1399","62233","1502"
"4","Patiala","53557","4247","47939","1371"
"5","Amritsar","48715","1208","45907","1600"
"6","Bathinda","42488","654","40785","1049"
"7","Hoshiarpur","31545","495","30050","1000"
"8","Gurdaspur","22885","436","21644","805"
"9","Fazilka","20386","97","19758","531"
"10","Pathankot","20333","1122","18776","435"
"11","Muktsar","18851","41","18285","525"
"12","Kapurthala","18183","247","17380","556"
"13","Sangrur","15918","136","14904","878"
"14","Mansa","15665","53","15231","381"
"15","Ferozepur","14683","199","13980","504"
"16","Faridkot","14063","98","13644","321"
"17","Ropar","13279","258","12593","428"
"18","SBS Nagar","11581","83","11108","390"
"19","FG Sahib","9455","527","8590","338"
"20","Moga","8808","118","8456","234"
"21","Tarn Taran","8234","154","7699","381"
"22","Barnala","6022","64","5710","248"
"","Total","621419","16343","588401","16675"
