"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1765677*","20756141*"
"2","Total No. of patients tested Positive","24058","784586"
"3","No. of patients discharged","23644","763918"
"4","Total Deaths reported","200","20505"
"5","Sample collected on the day","","7648"
"6","Test conducted on the day","","7633"
"7","Positive cases on the day","","36"
"8","Number of active Cases","","163"
"9","No. of Patients on oxygen support","","10"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218883"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117938"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211943"
"18","Frontline Workers vaccinated with 2nd dose on the day","","6"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019206"
"20","Above 45 Vaccinated with 1st dose on the day","","48"
"21","Total Above 45 Vaccinated with 1st dose","","8346396"
"22","Above 45 Vaccinated with 2nd dose on the day","","366"
"23","Total Above 45 Vaccinated with 2nd dose","","7650431"
"24","18-44 years age group Vaccinated with 1st dose on the day","","201"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660247"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1451"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10692071"
"28","15-17 years age group Vaccinated with 1st dose on the day","","48"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114164"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","261"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","860273"
"32","12-14 years age group Vaccinated with 1st dose on the day","","277"
"33","Total 12-14 years age group Vaccinated with 1st dose","","675788"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","655"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","479687"
"36","Precautionary dose given on the day","","5419"
"37","Total Precautionary dose given","","1754548"
"38","Total Vaccination 1st dose on the day","","252"
"39","Total Vaccination 2nd dose on the day","","1831"
"40","Total Vaccination 1st and 2nd dose on the day","","2083"
