"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23928","","5337","","29265",""
"2","Total Active Cases","38 
(0.16%)","","00 
(0%)","","38 
(0.13%)",""
"3","Total Cured/Discharged","23720 
(99.13%)","","5277 
(98.9%)","","28997 
(99.08%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","27","","00","","27",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","08","","00","","08",""
"9","No. of Samples Tested (Today)","108","","32","","140",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","103","","32","","135",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
45 
00 
00 
87"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(07/09/2022)","","Test Done Today 
(08/09/2022)","","Cumulative"
"","","a)RTPCR","37460","","64","","37524"
"","","b)TRUENAT","15023","","22","","15045"
"","","c)RAT","362719","","54","","362773"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","716427","","140","","716567"
