"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","670109","87","38171","0","410","8","37473","288"
"2","ALWAR","1333645","144","60076","0","307","8","59447","322"
"3","BANSWARA","259966","10","10027","0","104","0","9901","22"
"4","BARAN","182318","4","12004","0","61","0","11939","4"
"5","BARMER","347078","17","15607","0","186","0","15400","21"
"6","BHARATPUR","403231","79","19755","0","260","0","19346","149"
"7","BHILWARA","426525","34","29915","0","156","6","29649","110"
"8","BIKANER","624483","82","40586","0","546","28","39897","143"
"9","BUNDI","191332","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","385434","90","19923","0","139","0","19670","114"
"11","CHURU","349367","2","16726","0","108","1","16616","2"
"12","DAUSA","229832","2","13366","0","62","0","13294","10"
"13","DHOLPUR","238117","1","11019","0","48","0","10962","9"
"14","DUNGARPUR","270481","12","18432","0","131","0","18281","20"
"15","GANGANAGAR","356691","32","19451","0","151","8","19220","80"
"16","HANUMANGARH","420515","9","16095","0","111","4","15970","14"
"17","JAIPUR","2706835","1439","192958","0","1973","240","186540","4445"
"18","JAISALMER","215943","2","13653","0","66","0","13585","2"
"19","JALORE","397055","0","10068","0","72","0","9996","0"
"20","JHALAWAR","317135","8","13626","0","187","0","13427","12"
"21","JHUNJHUNU","412662","4","14842","0","160","1","14669","13"
"22","JODHPUR","1209762","360","113406","0","1104","74","111432","870"
"23","KARAULI","192735","1","7161","0","70","0","7086","5"
