"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,161"
"2","Number of persons tested positive today in Tamil Nadu","493"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","494"
"3","Total Number of persons tested positive till date","35,68,166"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","19,475/ 
6,88,84,008@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","19,296/ 
6,76,70,680"
"6","No. of Male / Female / Transgender tested positive today","294/200/0"
"7","No. of Male / Female / Transgender tested positive till date","20,80,824/14,87,304/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","537/ 
35,24,970"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,035"
