"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22948","","5275","","28223",""
"2","Total Active Cases","06 
(0.03%)","","00 
(0%)","","06 
(0.02%)",""
"3","Total Cured/ Discharged","22774 
(99.24%)","","5215                                  
(98.9%)","","(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","04","","00","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","358","","22","","380",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","357","","22","","379",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","121 
        00 
        00 
        26 
       147"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(30/03/2022)","","Test Done Today 
(31/03/2022)","","Cumulative"
"","","a)  RTPCR","316215","","337","","316552"
"","","b)  TRUENAT","12989","","30","","13019"
"","","c)  RAT","347526","","13","","347539"
"","","d)  CBNAAT","958","","00","","958"
"","","TOTAL","677688","","380","","678068"
