"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18144","","3660","","21804",""
"2","Total Active Cases","196 
(1.1%)","","16 
(0.44%)","","212 
(0.97%)",""
"3","Total Cured/ Discharged","17791 
(98%)","","3586                                  
(98%)","","(98%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","147","","16","","163",""
"7","COVID Care Centre","21","","0","","21",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","529","","160","","689",""
"10","No. of Samples Positive (Today)","12","","00","","12",""
"11","No. of Samples Negative (Today)","517","","160","","677",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","148 
          00 
       00 
           12 
          160"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(10/12/2021)","","Test Done Today 
(11/12/2021)","","Cumulative"
"","","a)  RTPCR","239927","","456","","240383"
"","","b)  TRUENAT","11123","","07","","11130"
"","","c)  RAT","335064","","226","","335290"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","586286","","689","","586975"
