"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17555","","3621","","21176",""
"2","Total Active Cases","168 
(0.96%)","","05 
(0.14%)","","173 
(0.82%)",""
"3","Total Cured/ Discharged","17234 
(98.2%)","","3558 
(98.3%)","","20792 
(98.2%)",""
"4","Total Died","153 
(0.87%)","","58 
(1.60%)","","211 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","01","","19",""
"6","Total Positive cases in Home Isolation","141","","04","","145",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","09","","0","","09",""
"9","No. of Samples Tested (Today)","352","","05","","357",""
"10","No. of Samples Positive (Today)","28","","00","","28",""
"11","No. of Samples Negative (Today)","324","","05","","329",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","85 
          00 
     00 
          16 
          101"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(13/11/2021)","","Test Done Today 
(14/11/2021)","","Cumulative"
"","","a)  RTPCR","219789","","310                   220099","",""
"","","b)  TRUENAT","11012","","05","","11017"
"","","c)  RAT","329573","","42","","329615"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","560521","","357","","560878"
