,Unnamed: 0,44,Unnamed: 1,मऊ,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,8938,Unnamed: 5,0.2,Unnamed: 6,86,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
1,,46,,सीतापरु,,1.0,,0.0,,15766.0,,0.0,,187.0,,2.0,,,,,
2,,47,,अमठेी,,1.0,,0.0,,11517.0,,0.0,,145.0,,1.0,,,,,
3,,48,,अयोध्या,,0.0,,0.0,,18680.0,,0.0,,293.0,,1.0,,,,,
4,,49,,बरेली,,0.0,,2.0,,50102.0,,0.0,,377.0,,1.0,,,,,
5,,50,,बस्ती,,0.0,,0.0,,12802.0,,0.0,,337.0,,1.0,,,,,
6,,51,,बहराइच,,0.0,,0.0,,13416.0,,0.0,,178.0,,1.0,,,,,
7,,52,,हापड़ु,,0.0,,0.0,,15195.0,,0.0,,224.0,,1.0,,,,,
8,,53,,हाथरस,,0.0,,0.0,,3718.0,,0.0,,43.0,,1.0,,,,,
9,,54,,कानपरु देहात,,1.0,,0.0,,7127.0,,0.0,,111.0,,1.0,,,,,
10,,55,,मनैपरुी,,0.0,,1.0,,11485.0,,0.0,,189.0,,1.0,,,,,
11,,56,,लमर्ाुपरु,,0.0,,0.0,,11955.0,,0.0,,126.0,,1.0,,,,,
12,,57,,मजुफ्फरनगर,,1.0,,1.0,,38331.0,,0.0,,277.0,,1.0,,,,,
13,,58,,सहारनपरु,,0.0,,0.0,,38378.0,,0.0,,428.0,,1.0,,,,,
14,,59,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
15,,60,,आजमगढ़,,0.0,,0.0,,19442.0,,0.0,,235.0,,0.0,,,,,
16,,61,,बदाय,,0.0,,1.0,,17914.0,,0.0,,101.0,,0.0,,,,,
17,,62,,बागपत,,0.0,,2.0,,11067.0,,0.0,,144.0,,0.0,,,,,
18,,63,,बललया,,0.0,,0.0,,22518.0,,0.0,,246.0,,0.0,,,,,
19,,64,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
20,,65,,एटा,,0.0,,0.0,,12105.0,,0.0,,100.0,,0.0,,,,,
21,,66,,गाजीपरु,,0.0,,0.0,,23878.0,,0.0,,295.0,,0.0,,,,,
22,,67,,कौशाम्बी,,0.0,,0.0,,4880.0,,0.0,,72.0,,0.0,,,,,
23,,68,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,0.0,,,,,
24,,69,,पीलीभीत,,0.0,,0.0,,12730.0,,0.0,,205.0,,0.0,,,,,
25,,70,,रामपरु,,0.0,,0.0,,14610.0,,0.0,,153.0,,0.0,,,,,
26,,71,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
27,,72,,शाहजहांपरु,,0.0,,0.0,,24404.0,,0.0,,447.0,,0.0,,,,,
28,,73,,शामली,,0.0,,0.0,,16696.0,,0.0,,48.0,,0.0,,,,,
29,,74,,श्रावस्ती,,0.0,,0.0,,5235.0,,0.0,,42.0,,0.0,,,,,
30,,75,,सोनभद्र,,0.0,,0.0,,18658.0,,0.0,,257.0,,0.0,,,,,
31,,Total,,,,,,,220.0,,208.0,,2048879.0,,0.0,,23506.0,,1394.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23506 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
