"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","447"
"2","Number of persons tested positive today in Tamil Nadu","76"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Meghalaya-1"
"","Total","77"
"3","Total Number of persons tested positive till date","34,53,756"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,386/ 
6,61,09,506@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,375/ 
6,49,32,739"
"6","No. of Male / Female / Transgender tested positive today","52/25/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,665/14,38,053/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","34/ 
34,15,284"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
