"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227069","221190","5877","2"
"12","Nashik","472883","463963","8910","10"
"13","Ahmednagar","377723","370466","7242","15"
"14","Jalgaon","149528","146767","2761","0"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50087","670","0"
"17","Aurangabad","176543","172255","4284","4"
"18","Jalna","66329","65104","1224","1"
"19","Beed","109202","106317","2883","2"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58570","57284","1279","7"
"22","Hingoli","22175","21661","514","0"
"23","Nanded","102670","99964","2704","2"
"24","Osmanabad","75160","73020","2139","1"
"25","Amravati","105953","104323","1624","6"
"26","Akola","66182","64711","1470","1"
"27","Washim","45633","44989","641","3"
"28","Buldhana","92021","91184","836","1"
"29","Yavatmal","81981","80161","1820","0"
"30","Nagpur","576430","567206","9215","9"
"31","Wardha","65675","64267","1408","0"
"32","Bhandara","67943","66800","1142","1"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98830","97236","1592","2"
