"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1665272","20655736"
"2","Total No. of patients tested Positive","23606","784134"
"3","No. of patients discharged","23031","763305"
"4","Total Deaths reported","191","20496"
"5","Sample collected on the day","","6033"
"6","Test conducted on the day","","5666"
"7","Positive cases on the day","","36"
"8","Number of active Cases","","333"
"9","No. of Patients on oxygen support","","17"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218874"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117914"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211902"
"18","Frontline Workers vaccinated with 2nd dose on the day","","15"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019081"
"20","Above 45 Vaccinated with 1st dose on the day","","102"
"21","Total Above 45 Vaccinated with 1st dose","","8345694"
"22","Above 45 Vaccinated with 2nd dose on the day","","435"
"23","Total Above 45 Vaccinated with 2nd dose","","7646927"
"24","18-44 years age group Vaccinated with 1st dose on the day","","363"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12657083"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1155"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10681152"
"28","15-17 years age group Vaccinated with 1st dose on the day","","239"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113296"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","561"
"31","Total 15-17 years age group Vaccinated with 2nddose","","857493"
"32","12-14 years age group Vaccinated with 1st dose on the day","","542"
"33","Total 12-14 years age group Vaccinated with 1st dose","","672208"
"34","12-14 years age group Vaccinated with 2nddose on the day","","950"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","472541"
"36","Precautionary dose given on the day","","6838"
"37","Total Precautionary dose given","","1695114"
"38","Total Vaccination 1st dose on the day","","472"
"39","Total Vaccination 2nd dose on the day","","1609"
"40","Total Vaccination 1st and 2nd dose on the day","","2081"
