"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228128","221953","5887","288"
"12","Nashik","475362","465837","8915","610"
"13","Ahmednagar","378890","371185","7245","460"
"14","Jalgaon","149970","147133","2762","75"
"15","Nandurbar","46725","45742","963","20"
"16","Dhule","51073","50301","670","102"
"17","Aurangabad","177774","173180","4288","306"
"18","Jalna","67097","65670","1224","203"
"19","Beed","109419","106473","2885","61"
"20","Latur","105471","102831","2489","151"
"21","Parbhani","58651","57355","1279","17"
"22","Hingoli","22311","21741","514","56"
"23","Nanded","102907","100144","2704","59"
"24","Osmanabad","75704","73376","2139","189"
"25","Amravati","106369","104641","1625","103"
"26","Akola","66654","65080","1471","103"
"27","Washim","46739","45844","641","254"
"28","Buldhana","92532","91470","837","225"
"29","Yavatmal","82285","80410","1820","55"
"30","Nagpur","580503","569991","9215","1297"
"31","Wardha","65936","64455","1408","73"
"32","Bhandara","68493","67175","1142","176"
"33","Gondia","45556","44916","587","53"
"34","Chandrapur","99226","97533","1593","100"
