"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","815785","*19804657"
"2","Total No. of patients tested Positive","2816","761884"
"3","No. of patients discharged","2118","743368"
"4","Total Deaths reported","18","17764"
"5","Sample collected on the day","","10494"
"6","Test conducted on the day","","12220"
"7","Positive cases on the day","","144"
"8","Number of active Cases","","752"
"9","No. of Patients on oxygen support","","17"
"10","Patients at critical care Level-3 facilities","","5"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218668"
"14","Frontline Workers vaccinated with 1st dose on the day","","17"
"15","Total Frontline Workers vaccinated with 1st dose","","1117474"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","24"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210595"
"18","Frontline Workers vaccinated with 2nd dose on the day","","131"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013903"
"20","Above 45 Vaccinated with 1st dose on the day","","826"
"21","Total Above 45 Vaccinated with 1st dose","","8324784"
"22","Above 45 Vaccinated with 2nd dose on the day","","9953"
"23","Total Above 45 Vaccinated with 2nd dose","","7420667"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1961"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12587023"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","19302"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10177627"
"28","15-17 years age group Vaccinated with 1st dose on the day","","612"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1084474"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3088"
"31","Total 15-17 years age group Vaccinated with 2nddose","","751691"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1013"
"33","Total 12-14 years age group Vaccinated with 1st dose","","593367"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2934"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","326524"
"36","Precautionary dose given on the day","","5911"
"37","Total Precautionary dose given","","722895"
"38","Total Vaccination 1st dose on the day","","2805"
"39","Total Vaccination 2nd dose on the day","","29410"
"40","Total Vaccination 1st and 2nd dose on the day","","32215"
