"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 31-05-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","273","",""
"","","2","Total Discharges","3909966","",""
"","","3","Today's Tests Conducted","17716","",""
"","","4","Total Tests Conducted","66361624","",""
"","","5","Today’s New Cases Reported (30.05.2022, 00:00 to 23:59)","197","",""
"","","6","Total Active Cases","2029","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40065","",""
"","","9","Total Positive Cases","3952102","",""
"","","10","Positivity Rate for the day (30.05.2022, 00:00 to 23:59)","1.11%","",""
"","","11","*Weekly Total Positivity Rate","1.02%","",""
"","","12","Case Fatality Rate (CFR) for the day (30.05.2022, 00:00 to 23:59)","0.50%","",""
"","","13","*Weekly Case Fatality Rate","0.07%","",""
"*
     
From 25-05-2022 to 31-05.2022 
 
Particulars 
Today’s 
Cumulative 
4771* 
986568 
A 
Total Passengers screened at Air ports 
     *Date: 30-05-2022 
 
 
Date: 31-05-2022 
Page 1 of 8","","","","","",""
