"Total No. of Sample Taken Today","13207"
"Total No. of Positive Cases Detected Today","595"
"Total Active COVID-19 Patients","3685"
"Total No. of Active Cases under Home Isolation (21-08-2022)","3487"
"Total No. of Samples found Positive till date","1047789"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1033417"
"No. of Deaths","10664"
"Total No. of People Vaccinated Today","4541 
(1st Dose: 181 
2nd Dose: 1150 
Precaution Dose: 3210)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23637331 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19725635 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1661757"
"Cumulative Coverage of Total COVID-19 Vaccination","45024723"
"COVID-19 Today (21-08-2022) Positivity Rate","5.30%"
"Recovery Rate","98.63%"
"Fatality Rate","1.02%"
