"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,918"
"2","Number of persons tested positive today in Tamil Nadu","435"
"","Passengers returned from other countries  by 
International airport tested positive today","Canada-1"
"","Total","436"
"3","Total Number of persons tested positive till date","35,72,802"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,327/ 
6,90,73,494@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,180/ 
6,78,58,541"
"6","No. of Male / Female / Transgender tested positive today","245/191/0"
"7","No. of Male / Female / Transgender tested positive till date","20,83,572/14,89,192/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","442/ 
35,29,846"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
