"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21947","","5045","","26992",""
"2","Total Active Cases","543 
(2.5%)","","339 
(6.7%)","","882 
(3.3%)",""
"3","Total Cured/ Discharged","21237 
(96.8%)","","4647                                  
(92.1%)","","(95.9%)",""
"4","Total Died","167 
(0.76%)","","59 
(1.2%)","","226 
(0.84%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","3","","25",""
"6","Total Positive cases in Home Isolation","402","","335","","737",""
"7","COVID Care Centre","109","","01","","110",""
"8","Facility Isolation","10","","0","","10",""
"9","No. of Samples Tested (Today)","260","","286","","546",""
"10","No. of Samples Positive (Today)","30","","20","","50",""
"11","No. of Samples Negative (Today)","228","","266","","494",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","252 
        00 
        00 
        36 
       288"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(06/01/2022)","","Test Done Today 
(07/02/2022)","","Cumulative"
"","","a)  RTPCR","283055","","390","","283445"
"","","b)  TRUENAT","11821","","25","","11846"
"","","c)  RAT","344591","","131","","344722"
"","","d)  CBNAAT","454","","00","","454"
"","","TOTAL","639921","","546","","640467"
