"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","54","5","0","2","40"
"2","ALWAR","100","1","0","6","26"
"3","BANSWARA","56","0","0","0","0"
"4","BARAN","43","1","0","0","4"
"5","BARMER","9","0","0","0","0"
"6","BHARATPUR","13","0","0","0","1"
"7","BHILWARA","21","0","0","0","4"
"8","BIKANER","150","0","0","1","11"
"9","BUNDI","2","0","0","3","2"
"10","CHITTORGARH","25","0","0","1","9"
"11","CHURU","4","0","0","0","0"
"12","DAUSA","22","0","0","0","4"
"13","DHOLPUR","3","0","0","0","0"
"14","DUNGARPUR","2","0","0","0","2"
"15","GANGANAGAR","7","0","0","0","2"
"16","HANUMANGARH","88","0","0","0","0"
"17","JAIPUR","728","8","1","3","69"
"18","JAISALMER","1","0","0","0","0"
"19","JALORE","33","2","0","0","3"
"20","JHALAWAR","17","0","0","0","1"
"21","JHUNJHUNU","15","0","0","0","0"
"22","JODHPUR","89","1","0","4","24"
"23","KARAULI","0","0","0","0","1"
"24","KOTA","470","3","0","6","30"
"25","NAGAUR","2","0","0","2","3"
"26","PALI","70","1","0","0","11"
