"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","796616","9","50047","0","447","0","49509","91"
"2","ALWAR","1628941","0","84937","0","321","1","84565","51"
"3","BANSWARA","322432","0","14782","0","106","0","14672","4"
"4","BARAN","242179","0","15315","0","64","0","15247","4"
"5","BARMER","406112","4","21479","0","205","0","21252","22"
"6","BHARATPUR","476403","0","31453","1","273","0","31180","0"
"7","BHILWARA","510265","0","38289","0","162","0","38074","53"
"8","BIKANER","759796","14","50414","0","590","24","49715","109"
"9","BUNDI","236805","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454771","0","29438","0","140","0","29284","14"
"11","CHURU","437580","0","20951","0","115","4","20830","6"
"12","DAUSA","297576","0","15897","0","82","0","15798","17"
"13","DHOLPUR","289629","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328150","2","25509","0","134","0","25365","10"
"15","GANGANAGAR","423462","2","28189","0","158","0","28021","10"
"16","HANUMANGARH","489489","2","22536","0","115","0","22414","7"
"17","JAIPUR","3480022","39","277705","0","2114","15","275129","462"
"18","JAISALMER","243005","0","17036","0","68","0","16968","0"
"19","JALORE","449002","0","10575","0","78","0","10486","11"
"20","JHALAWAR","415088","1","17769","0","207","0","17556","6"
"21","JHUNJHUNU","494313","0","19161","0","181","0","18980","0"
"22","JODHPUR","1435303","23","141601","0","1164","27","140271","166"
"23","KARAULI","243155","0","8969","0","85","0","8884","0"
