"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18461","","3746","","22207",""
"2","Total Active Cases","153 
(0.83%)","","50 
(1.33%)","","203 
(0.91%)",""
"3","Total Cured/ Discharged","18147 
(98.3%)","","3638                                  
(97.12%)","","(98.1%)",""
"4","Total Died","161 
(0.87%)","","58 
(1.5%)","","219 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","92","","50","","142",""
"7","COVID Care Centre","33","","0","","33",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","664","","360","","1024",""
"10","No. of Samples Positive (Today)","20","","03","","23",""
"11","No. of Samples Negative (Today)","636","","357","","993",""
"12","Repeat Positive/ Resampling (Today)","08","","00","","08",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","284 
           08 
       00 
            50 
          342"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(31/12/2021)","","Test Done Today 
(01/01/2022)","","Cumulative"
"","","a)  RTPCR","253882","","898","","254780"
"","","b)  TRUENAT","11252","","06","","11258"
"","","c)  RAT","338768","","120","","338888"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","604074","","1024","","605098"
