"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,145"
"2","Number of persons tested positive today in Tamil Nadu","702"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-1"
"","Total","703"
"3","Total Number of persons tested positive till date","35,59,491"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,103/ 
6,85,51,378@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","23,782/ 
6,73,41,602"
"6","No. of Male / Female / Transgender tested positive today","421/282/0"
"7","No. of Male / Female / Transgender tested positive till date","20,75,647/14,83,806/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","964/ 
35,14,313"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
