"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","18,908+9","18,731+14","110","67-5","24-Feb-22"
"2","Coochbehar","33,952+3","33,801+10","106","45-7","24-Feb-22"
"3","Darjeeling","69,011+9","68,318+21","599","94-12","24-Feb-22"
"4","Kalimpong","8,513+1","8,436+5","58","19-4","24-Feb-22"
"5","Jalpaiguri","49,583+6","48,854+18","648","81-12","24-Feb-22"
"6","Uttar Dinajpur","25,115+10","24,811+6","268","36+4","24-Feb-22"
"7","Dakshin Dinajpur","23,084+5","22,835+13","193","56-8","24-Feb-22"
"8","Malda","44,423+14","44,156+13","199","68+1","24-Feb-22"
"9","Murshidabad","41,622+7","41,220+10","356","46-3","24-Feb-22"
"10","Nadia","87,602+12","86,547+25","944+1","111-14","24-Feb-22"
"11","Birbhum","57,698+12","57,256+20","350","92-8","24-Feb-22"
"12","Purulia","24,213+3","24,064+6","123","26-3","24-Feb-22"
"13","Bankura","43,872+6","43,518+16","286","68-10","24-Feb-22"
"14","Jhargram","15,542+1","15,493+4","30","19-3","24-Feb-22"
"15","Paschim Medinipur","62,532+6","61,939+14","529","64-8","24-Feb-22"
"16","Purba Medinipur","67,830+7","67,344+10","441","45-3","24-Feb-22"
"17","Purba Bardhaman","55,392+15","55,086+13","238","68+2","24-Feb-22"
"18","Paschim Bardhaman","75,606+5","75,115+14","432","59-9","24-Feb-22"
"19","Howrah","1,24,987+10","1,23,262+18","1,640","85-8","24-Feb-22"
"20","Hooghly","1,07,921+9","1,06,717+19","1,119","85-10","24-Feb-22"
"21","North 24 Parganas","4,02,901+31","3,97,270+66","5,337+2","294-37","24-Feb-22"
"22","South 24 Parganas","1,27,247+25","1,25,605+27","1,510","132-2","24-Feb-22"
"23","Kolkata","4,46,947+54","4,40,969+68","5,650+1","328-15","24-Feb-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","20,14,567+260","19,91,410+430","21,169+4","1,988-174",""
