"S. No","Subject","Number"
"1","Total Number of people vaccinated on 25th Feb","1,79,024"
"2","First Dose on 25th Feb","13,984"
"3","Second Dose on 25th Feb","1,55,125"
"4","Precaution Dose on 25th Feb","9,915"
"5","Cumulative Vaccination till 25th Feb","12,88,12,223"
"6","Cumulative Vaccination First Dose","6,96,52,712"
"7","Cumulative Vaccination Second Dose","5,75,67,005"
"8","Cumulative Precaution Dose","15,92,506"
"9","Number of CVC (Common Vaccination Centres)","3,342"
"10","Cumulative AEFI cases reported","6,949"
"11","Vaccine wastage","-7%"
