"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22973","","5280","","28253",""
"2","Total Active Cases","07 
(0.03%)","","00 
(0%)","","07 
(0.02%)",""
"3","Total Cured/Discharged","22798 
(99.2%)","","5220 
(98.9%)","","28018 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","04","","00","","04",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","144","","25","","169",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","140","","25","","165",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","57 
49 
58 
00 
164"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(10/05/2022)","","Test Done Today 
(11/05/2022)","","Cumulative"
"","","a)RTPCR","320619","","87","","320706"
"","","b)TRUENAT","13822","","13","","13835"
"","","c)RAT","348437","","69","","348506"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","683983","","169","","684152"
