"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","718326","558","45317","1","420","587","41298","3599"
"2","ALWAR","1418460","1846","77481","1","315","1243","68719","8447"
"3","BANSWARA","278651","205","12011","0","104","9","10580","1327"
"4","BARAN","199000","182","13591","0","62","93","12595","934"
"5","BARMER","376776","162","20259","1","193","266","18138","1928"
"6","BHARATPUR","436372","588","28468","0","263","424","23879","4326"
"7","BHILWARA","459655","213","34618","0","156","90","31926","2536"
"8","BIKANER","665149","223","47302","2","563","356","44808","1931"
"9","BUNDI","206056","48","8810","0","50","53","8310","450"
"10","CHITTORGARH","419589","424","26415","0","139","658","24009","2267"
"11","CHURU","380681","171","19056","0","109","189","17823","1124"
"12","DAUSA","249649","97","15117","0","69","85","14234","814"
"13","DHOLPUR","254069","127","12535","0","49","116","11637","849"
"14","DUNGARPUR","304066","346","22321","1","132","336","19991","2198"
"15","GANGANAGAR","381520","801","23339","0","153","83","20324","2862"
"16","HANUMANGARH","451178","226","20439","0","112","85","17948","2379"
"17","JAIPUR","2949571","2234","245881","4","2019","2350","219150","24712"
"18","JAISALMER","229124","84","15480","0","67","183","14847","566"
"19","JALORE","417085","18","10345","1","75","25","10045","225"
"20","JHALAWAR","336753","237","15882","0","196","202","14788","898"
"21","JHUNJHUNU","440798","184","16704","1","165","262","15506","1033"
"22","JODHPUR","1283057","1000","130682","4","1129","884","122727","6826"
"23","KARAULI","209747","92","8098","0","73","114","7452","573"
