"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23932","","5337","","29269",""
"2","Total Active Cases","34 
(0.14%)","","00 
(0%)","","34 
(0.12%)",""
"3","Total Cured/Discharged","23728 
(99.15%)","","5277 
(98.9%)","","29005 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","27","","00","","27",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","04","","00","","04",""
"9","No. of Samples Tested (Today)","88","","39","","127",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","84","","39","","123",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","48 
57 
03 
00 
108"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(08/09/2022)","","Test Done Today 
(09/09/2022)","","Cumulative"
"","","a)RTPCR","37524","","62","","37586"
"","","b)TRUENAT","15045","","15","","15060"
"","","c)RAT","362773","","50","","362823"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","716567","","127","","716694"
