"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,791"
"2","Number of persons tested positive today in Tamil Nadu","1,112"
"3","Total Number of persons tested positive till date","26,96,328"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,22,700/ 
5,04,23,638@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,22,253/ 
4,95,02,799"
"6","No. of Male / Female / Transgender tested positive today","632/480/0"
"7","No. of Male / Female / Transgender tested positive till date","15,73,637/11,22,653/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","306 (69 Govt+ 
237 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,341/ 
26,47,504"
"10","Total number of deaths today/ till date","14(5 Private &  
9 Govt) /36,033)"
