"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","797696","8","50085","0","447","0","49575","63"
"2","ALWAR","1630489","5","84961","0","321","7","84596","44"
"3","BANSWARA","322892","0","14784","0","106","0","14677","1"
"4","BARAN","242695","0","15317","0","64","1","15249","4"
"5","BARMER","406480","2","21483","0","205","0","21272","6"
"6","BHARATPUR","476425","0","31454","0","273","0","31180","1"
"7","BHILWARA","510493","8","38318","0","162","7","38118","38"
"8","BIKANER","762486","14","50513","0","590","16","49768","155"
"9","BUNDI","236927","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455064","0","29446","0","140","3","29296","10"
"11","CHURU","437990","0","20951","0","115","0","20834","2"
"12","DAUSA","298226","0","15900","0","82","4","15807","11"
"13","DHOLPUR","290037","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328201","3","25516","0","134","2","25370","12"
"15","GANGANAGAR","423501","0","28189","0","158","1","28023","8"
"16","HANUMANGARH","489546","1","22539","0","115","2","22417","7"
"17","JAIPUR","3485548","54","277914","0","2114","97","275420","380"
"18","JAISALMER","243094","0","17036","0","68","0","16968","0"
"19","JALORE","449411","0","10581","0","78","4","10496","7"
"20","JHALAWAR","416921","1","17775","0","207","2","17560","8"
"21","JHUNJHUNU","494433","0","19161","0","181","0","18980","0"
"22","JODHPUR","1437102","50","141748","0","1164","22","140372","212"
"23","KARAULI","243563","0","8969","0","85","0","8884","0"
