"Total No. of Sample Taken Today","5000"
"Total No. of Positive Cases Detected Today","89"
"Total Active COVID-19 Patients","397"
"Total No. of Active Cases under Home Isolation (10-04-2022)","392"
"Total No. of Samples found Positive till date","985877"
"Total Positive COVID-19 Patients Recovered / Discharged till date","974840"
"No. of Deaths","10617"
"Total No. of People Vaccinated Today","4681 
(1st Dose: 883 
2nd Dose: 3139 
Precaution Dose: 659)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23199361 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18573480 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","295335"
"Cumulative Coverage of Total COVID-19 Vaccination","42068176"
"COVID-19 Today (10-04-2022) Positivity Rate","1.56%"
"Recovery Rate","98.88%"
"Fatality Rate","1.08%"
"Tests Per Million Population","675735"
