"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","322"
"2","Number of persons tested positive today in Tamil Nadu","39"
"3","Total Number of persons tested positive till date","34,52,790"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","30,095/ 
6,55,67,977@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,076/ 
6,43,91,491"
"6","No. of Male / Female / Transgender tested positive today","13/26/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,124/14,37,628/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","56/ 
34,14,443"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
