"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","284"
"2","Number of persons tested positive today in Tamil Nadu","30"
"3","Total Number of persons tested positive till date","34,52,887"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","24,798/ 
6,56,50,547@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,785/ 
6,44,74,016"
"6","No. of Male / Female / Transgender tested positive today","14/16/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,173/14,37,676/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","39/ 
34,14,578"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
