"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","650675","5","37872","0","410","3","37436","26"
"2","ALWAR","1314539","0","59746","0","307","2","59433","6"
"3","BANSWARA","251435","0","10005","0","104","0","9901","0"
"4","BARAN","175236","0","12000","0","61","0","11936","3"
"5","BARMER","341178","0","15586","0","186","0","15394","6"
"6","BHARATPUR","392991","0","19605","0","260","0","19344","1"
"7","BHILWARA","413813","2","29795","0","156","0","29627","12"
"8","BIKANER","614250","4","40413","0","546","7","39848","19"
"9","BUNDI","186163","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","375615","0","19809","0","139","0","19670","0"
"11","CHURU","337086","0","16723","0","108","0","16615","0"
"12","DAUSA","221832","0","13356","0","62","1","13293","1"
"13","DHOLPUR","231548","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","260622","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","350013","1","19363","0","151","1","19208","4"
"16","HANUMANGARH","405464","0","16076","0","111","8","15963","2"
"17","JAIPUR","2629512","18","188245","0","1971","7","186167","107"
"18","JAISALMER","211955","0","13651","0","66","0","13580","5"
"19","JALORE","389309","0","10068","0","72","0","9995","1"
"20","JHALAWAR","305362","0","13613","0","187","0","13425","1"
"21","JHUNJHUNU","401473","0","14828","1","160","0","14660","8"
"22","JODHPUR","1187408","6","112448","0","1103","9","111335","10"
"23","KARAULI","183027","0","7156","0","70","0","7086","0"
