"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17626","","3626","","21252",""
"2","Total Active Cases","197 
(1.12%)","","09 
(0.25%)","","206 
(0.97%)",""
"3","Total Cured/ Discharged","17276 
(98.0%)","","3559 
(98.2%)","","20835 
(98.03%)",""
"4","Total Died","153 
(0.87%)","","58 
(1.6%)","","211 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","01","","20",""
"6","Total Positive cases in Home Isolation","163","","08","","171",""
"7","COVID Care Centre","02","","0","","02",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","459","","176","","635",""
"10","No. of Samples Positive (Today)","19","","04","","23",""
"11","No. of Samples Negative (Today)","440","","172","","612",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","85 
          31 
      00 
           21 
         137"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(16/11/2021)","","Test Done Today 
(17/11/2021)","","Cumulative"
"","","a)  RTPCR","220622","","534","","221156"
"","","b)  TRUENAT","11020","","05","","11025"
"","","c)  RAT","329735","","96","","329831"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","561524","","635","","562159"
