"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22846","","5273","","28119",""
"2","Total Active Cases","117 
(0.51%)","","02 
(0.04%)","","119 
(0.42%)",""
"3","Total Cured/ Discharged","22561 
(98.8%)","","5211                                  
(98.8%)","","(98.8%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","33","","02","","35",""
"7","COVID Care Centre","77","","00","","77",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","579","","39","","618",""
"10","No. of Samples Positive (Today)","07","","00","","07",""
"11","No. of Samples Negative (Today)","572","","39","","611",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","355 
        00 
        00 
        10 
       365"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(05/03/2022)","","Test Done Today 
(06/03/2022)","","Cumulative"
"","","a)  RTPCR","306667","","576","","307243"
"","","b)  TRUENAT","12420","","20","","12440"
"","","c)  RAT","346965","","22","","346987"
"","","d)  CBNAAT","831","","00","","831"
"","","TOTAL","666883","","618","","667501"
