"Total No. of Sample Taken Today","19641"
"Total No. of Positive Cases Detected Today","16"
"Total Positive Cases under Home Isolation (20-11-2021)","99"
"Total No. of Samples Sent till date","13416568"
"Total No. of Samples found Positive till date","771544 
(M: 471447 
F: 300080 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761351"
"Total Active COVID-19 Patients","117"
"No. of Deaths","10053"
"Total No. of People Vaccinated today","60563 
(1st Dose: 22993, 
2nd Dose: 37570"
"Cumulative Coverage of COVID-19 Vaccination - 1sr Dose","18254160 (89%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","9306810 (45%)"
"Cumulative Coverage of Total COVID-19 Vaccination","27560970"
"COVID-19 Today (21-11-2021) Positivity Rate","0.09%"
"COVID-19 Cumulative Positivity Rate","5.76%"
"Recovery Rate","98.68%"
"Fatality Rate","1.30%"
"Tests Per Million Population","529253"
