"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","104","109881","87","107576","1","2280","25"
"2","SAS Nagar","149","95840","101","94634","0","1148","58"
"3","Jalandhar","76","78350","62","76762","0","1578","10"
"4","Patiala","179","62213","48","60620","0","1458","135"
"5","Amritsar","36","59431","23","57731","0","1682","18"
"6","Bathinda","29","50899","22","49800","0","1088","11"
"7","Hoshiarpur","47","40885","56","39788","0","1096","1"
"8","Gurdaspur","10","26949","11","26084","1","865","0"
"9","Pathankot","28","24564","30","24063","0","495","6"
"10","Fazilka","13","23411","24","22863","0","545","3"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","21","22054","19","21471","1","583","0"
"13","Ropar","9","17947","7","17490","0","455","2"
"14","Ferozepur","7","17906","9","17369","0","537","0"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","19","16805","23","16464","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","17","13419","18","13006","0","409","4"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","2","10901","1","10506","0","394","1"
"22","Barnala","5","7503","8","7151","0","349","3"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","770","759856","573","741823","4","17751","282"
