"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","335311","19324172"
"2","Total No. of patients tested Positive","770","759856"
"3","No. of patients discharged","573","741823"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12612"
"6","Test conducted on the day","","12566"
"7","Positive cases on the day","","24"
"8","Number of active Cases","","282"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","8"
"13","Total Healthcare Workers vaccinated with 1st dose","","218569"
"14","Frontline Workers vaccinated with 1st dose on the day","","12"
"15","Total Frontline Workers vaccinated with 1st dose","","1117080"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","43"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209618"
"18","Frontline Workers vaccinated with 2nd dose on the day","","116"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010405"
"20","Above 45 Vaccinated with 1st dose on the day","","987"
"21","Total Above 45 Vaccinated with 1st dose","","8282546"
"22","Above 45 Vaccinated with 2nd dose on the day","","13409"
"23","Total Above 45 Vaccinated with 2nd dose","","7025819"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2384"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12471035"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","27451"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9390646"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2227"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1039576"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4649"
"31","Total 15-17 years age group Vaccinated with 2nddose","","618939"
"32","12-14 years age group Vaccinated with 1st dose on the day","","7277"
"33","Total 12-14 years age group Vaccinated with 1st dose","","474647"
"34","12-14 years age group Vaccinated with 2nddose on the day","","9996"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","140187"
"36","Precautionary dose given on the day","","4067"
"37","Total Precautionary dose given","","561661"
"38","Total Vaccination 1st dose on the day","","3391"
"39","Total Vaccination 2nd dose on the day","","41019"
"40","Total Vaccination 1st and 2nd dose on the day","","44410"
