"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","896349","19885221"
"2","Total No. of patients tested Positive","4105","763150"
"3","No. of patients discharged","2930","744180"
"4","Total Deaths reported","30","17776"
"5","Sample collected on the day","","13063"
"6","Test conducted on the day","","12677"
"7","Positive cases on the day","","195"
"8","Number of active Cases","","1194"
"9","No. of Patients on oxygen support","","31"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218695"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117516"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","58"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210829"
"18","Frontline Workers vaccinated with 2nd dose on the day","","204"
"19","Total Frontline Workers vaccinated with 2nd dose","","1014700"
"20","Above 45 Vaccinated with 1st dose on the day","","378"
"21","Total Above 45 Vaccinated with 1st dose","","8327659"
"22","Above 45 Vaccinated with 2nd dose on the day","","7991"
"23","Total Above 45 Vaccinated with 2nd dose","","7469446"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1719"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12596355"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15812"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10275562"
"28","15-17 years age group Vaccinated with 1st dose on the day","","608"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1087510"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2124"
"31","Total 15-17 years age group Vaccinated with 2nddose","","767640"
"32","12-14 years age group Vaccinated with 1st dose on the day","","378"
"33","Total 12-14 years age group Vaccinated with 1st dose","","596639"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1745"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","339855"
"36","Precautionary dose given on the day","","3477"
"37","Total Precautionary dose given","","744802"
"38","Total Vaccination 1st dose on the day","","2110"
"39","Total Vaccination 2nd dose on the day","","24065"
"40","Total Vaccination 1st and 2nd dose on the day","","26175"
