"1","Total Samples taken","19059269"
"2","Sample collected on the day","11102"
"3","Test conducted on the day","10962"
"4","Total No. of patients tested Positive","759177"
"5","No. of patients discharged","741374"
"6","Positive cases on the day","06"
"7","Number of active Cases","62"
"8","Total Deaths reported","17741"
"9","No. of Patients on oxygen support","5"
"10","Patients at critical care Level-3 facilities","0"
"11","Patients who are critical and on ventilator support","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","1"
"13","Total Healthcare Workers vaccinated with 1st dose","218489"
"14","Frontline Workers vaccinated with 1st dose on the day","10"
"15","Total Frontline Workers vaccinated with 1st dose","1116870"
"16","Healthcare Workers vaccinated with 2nd dose on the day","18"
"17","Total Healthcare Workers vaccinated with 2nd dose","208854"
"18","Frontline Workers vaccinated with 2nd dose on the day","91"
"19","Total Frontline Workers vaccinated with 2nd dose","1007553"
"20","Above 45 Vaccinated with 1st dose on the day","2319"
"21","Total Above 45 Vaccinated with 1st dose","8267994"
"22","Above 45 Vaccinated with 2nd dose on the day","6307"
"23","Total Above 45 Vaccinated with 2nd dose","6812768"
"24","18-44 years age group Vaccinated with 1st dose on the day","3018"
"25","Total 18-44 years age group Vaccinated with 1st dose","12423618"
"26","18-44 years age group Vaccinated with 2nd dose on the day","14767"
"27","Total 18-44 years age group Vaccinated with 2nd dose","8915508"
"28","15-17 years age group Vaccinated with 1st dose on the day","2621"
"29","Total 15-17 years age group Vaccinated with 1st dose","983716"
"30","15-17 years age group Vaccinated with 2nd dose on the day","5082"
"31","Total 15-17 years age group Vaccinated with 2nd dose","502279"
"32","12-14 years age group Vaccinated with 1st dose on the day","6033"
"33","Total 12-14 years age group Vaccinated with 1st dose","329901"
"34","Precautionary dose given on the day","2896"
"35","Total Precautionary dose given","458877"
"36","Total Vaccination 1st dose on the day","5348"
"37","Total Vaccination 2nd dose on the day","21183"
"38","Total Vaccination 1st and 2nd dose on the day","26531"
