"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","656058","3","37883","0","410","0","37446","27"
"2","ALWAR","1320199","6","59754","0","307","0","59435","12"
"3","BANSWARA","253908","0","10005","0","104","0","9901","0"
"4","BARAN","177107","0","12000","0","61","0","11939","0"
"5","BARMER","342860","0","15586","0","186","2","15399","1"
"6","BHARATPUR","395112","1","19606","0","260","0","19344","2"
"7","BHILWARA","417072","4","29805","0","156","2","29632","17"
"8","BIKANER","617454","12","40436","0","546","0","39855","35"
"9","BUNDI","187349","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","377383","0","19809","0","139","0","19670","0"
"11","CHURU","340064","1","16724","0","108","0","16615","1"
"12","DAUSA","223800","0","13356","0","62","0","13294","0"
"13","DHOLPUR","233368","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","261948","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","351704","0","19370","0","151","0","19209","10"
"16","HANUMANGARH","409331","4","16081","0","111","1","15965","5"
"17","JAIPUR","2646389","88","188523","0","1971","16","186207","345"
"18","JAISALMER","212692","0","13651","0","66","4","13584","1"
"19","JALORE","391108","0","10068","0","72","0","9996","0"
"20","JHALAWAR","309143","0","13614","0","187","0","13426","1"
"21","JHUNJHUNU","405559","0","14829","0","160","1","14663","6"
"22","JODHPUR","1193230","1","112463","0","1103","3","111340","20"
"23","KARAULI","186220","0","7156","0","70","0","7086","0"
