"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1850538","20841002"
"2","Total No. of patients tested Positive","24379","784907"
"3","No. of patients discharged","23949","764223"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","6178"
"6","Test conducted on the day","","6162"
"7","Positive cases on the day","","19"
"8","Number of active Cases","","174"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218887"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117946"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211981"
"18","Frontline Workers vaccinated with 2nd dose on the day","","3"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019299"
"20","Above 45 Vaccinated with 1st dose on the day","","26"
"21","Total Above 45 Vaccinated with 1st dose","","8346838"
"22","Above 45 Vaccinated with 2nd dose on the day","","170"
"23","Total Above 45 Vaccinated with 2nd dose","","7652586"
"24","18-44 years age group Vaccinated with 1st dose on the day","","136"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662152"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","519"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10699977"
"28","15-17 years age group Vaccinated with 1st dose on the day","","69"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114813"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","495"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","863694"
"32","12-14 years age group Vaccinated with 1st dose on the day","","528"
"33","Total 12-14 years age group Vaccinated with 1st dose","","679439"
"34","12-14 years age group Vaccinated with 2nddose on the day","","931"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","487900"
"36","Precautionary dose given on the day","","3439"
"37","Total Precautionary dose given","","1789701"
"38","Total Vaccination 1st dose on the day","","164"
"39","Total Vaccination 2nd dose on the day","","696"
"40","Total Vaccination 1st and 2nd dose on the day","","860"
