"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","515","2","0","14","40"
"2","ALWAR","711","2","0","11","47"
"3","BANSWARA","149","2","0","7","14"
"4","BARAN","254","0","0","0","2"
"5","BARMER","56","0","0","0","0"
"6","BHARATPUR","44","1","0","1","3"
"7","BHILWARA","199","0","0","6","13"
"8","BIKANER","501","2","0","8","17"
"9","BUNDI","121","2","0","2","8"
"10","CHITTORGARH","206","5","0","4","29"
"11","CHURU","110","0","0","0","0"
"12","DAUSA","439","0","0","5","17"
"13","DHOLPUR","148","0","0","1","3"
"14","DUNGARPUR","5","0","0","1","16"
"15","GANGANAGAR","126","0","0","0","2"
"16","HANUMANGARH","157","0","0","0","7"
"17","JAIPUR","1076","12","0","31","158"
"18","JAISALMER","18","0","0","2","0"
"19","JALORE","174","1","0","0","14"
"20","JHALAWAR","741","0","0","0","0"
"21","JHUNJHUNU","345","0","0","0","0"
"22","JODHPUR","172","12","0","5","44"
"23","KARAULI","79","0","0","0","5"
"24","KOTA","799","8","0","5","43"
"25","NAGAUR","218","0","0","0","5"
"26","PALI","526","5","0","2","13"
