"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","976151","19965029"
"2","Total No. of patients tested Positive","5281","764312"
"3","No. of patients discharged","4153","745403"
"4","Total Deaths reported","38","17784"
"5","Sample collected on the day","","13072"
"6","Test conducted on the day","","13019"
"7","Positive cases on the day","","211"
"8","Number of active Cases","","1125"
"9","No. of Patients on oxygen support","","34"
"10","Patients at critical care Level-3 facilities","","7"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218731"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117555"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","40"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210988"
"18","Frontline Workers vaccinated with 2nd dose on the day","","151"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015326"
"20","Above 45 Vaccinated with 1st dose on the day","","291"
"21","Total Above 45 Vaccinated with 1st dose","","8329479"
"22","Above 45 Vaccinated with 2nd dose on the day","","6656"
"23","Total Above 45 Vaccinated with 2nd dose","","7510699"
"24","18-44 years age group Vaccinated with 1st dose on the day","","966"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12602151"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14866"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10364626"
"28","15-17 years age group Vaccinated with 1st dose on the day","","798"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1091444"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4392"
"31","Total 15-17 years age group Vaccinated with 2nddose","","785898"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2963"
"33","Total 12-14 years age group Vaccinated with 1st dose","","605858"
"34","12-14 years age group Vaccinated with 2nddose on the day","","7023"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","362779"
"36","Precautionary dose given on the day","","4002"
"37","Total Precautionary dose given","","764249"
"38","Total Vaccination 1st dose on the day","","1266"
"39","Total Vaccination 2nd dose on the day","","21713"
"40","Total Vaccination 1st and 2nd dose on the day","","22979"
