"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23286","","5284","","28570",""
"2","Total Active Cases","57 
(0.24%)","","00 
(0%)","","57 
(0.2%)",""
"3","Total Cured/Discharged","23061 
(99%)","","5224 
(98.9%)","","28285 
(99%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","00","","10",""
"6","Total Positive cases in Home Isolation","46","","00","","46",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","105","","24","","129",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","96","","24","","120",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","47 
05 
11 
03 
66"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(09/07/2022)","","Test Done Today 
(10/07/2022)","","Cumulative"
"","","a)RTPCR","328899","","82","","328981"
"","","b)TRUENAT","14453","","10","","14463"
"","","c)RAT","351335","","37","","351372"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","695792","","129","","695921"
