"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17852","","3642","","21494",""
"2","Total Active Cases","229 
(1.28%)","","20 
(0.54%)","","249 
(1.2%)",""
"3","Total Cured/ Discharged","17468 
(97.84%)","","3564                                  
(97.9%)","","(97.85%)",""
"4","Total Died","155 
(0.87%)","","58 
(1.6%)","","213 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","33","","00","","33",""
"6","Total Positive cases in Home Isolation","167","","20","","187",""
"7","COVID Care Centre","15","","0","","15",""
"8","Facility Isolation","14","","0","","14",""
"9","No. of Samples Tested (Today)","447","","1078","","1525",""
"10","No. of Samples Positive (Today)","25","","02","","27",""
"11","No. of Samples Negative (Today)","419","","1076","","1495",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","42 
           64 
       00 
            07 
          113"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(26/11/2021)","","Test Done Today 
(27/11/2021)","","Cumulative"
"","","a)  RTPCR","227851","","1388","","229239"
"","","b)  TRUENAT","11042","","04","","11046"
"","","c)  RAT","331225","","122","","331347"
"","","d)  CBNAAT","161","","11","","172"
"","","TOTAL","570279","","1525","","571804"
